名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠又は保留鎖錠,
場内信号機,館浜方,-,1番線,,11R,,,,11RT,,238T 242T 246T 250T,((60秒))
出発信号機,2番線,-,館浜方,,12L,,,,12LT,,{NA2T NA1T 但(13L)} {21ﾛT 但21} 13LT,((60秒))
場内信号機,新大路方,-,2番線,,13L,, 21,,21ﾛT 13LT,(21ﾛT),{[2RT] NA2T NA1T 但(14L)},((60秒))
出発信号機,1番線,-,新大路方,,13R,,(21),(14R),21ｲT 21ﾛT ,(21ｲT 21ﾛT),{238T 242T 246T 250T 但(11R)} 11RT,((60秒))
方向てこ,赤山町駅,-,当駅,,14,L,[｢1L｣],NA1T NA2T,{[((3L)) 又は ((4L)) 又は ((5L))] 但 98N},,,
,当駅,-,赤山町,,,R,[(1R)],NA1T NA2T,{((13R)) 但 98N},,,
CTC切換てこ,無　　効,,,,81,L,,,,,,
,有　　効,,,,,R,11R 12L 13L 13R,,,,,
開放てこ（赤山町方）,集　　中,,,,99,N,,,,,,
,駅　　扱,,,,,R,,,,,,
転てつ器,（　２　動　）,,,,21,,,,21ｲT 21ﾛT,,,
