名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠又は保留鎖錠
方向てこ,当　駅,-,大道寺駅,,11,L,[(14L)],DF2T DF1T,{((12L)) 又は ((13L)) 但 98N},,
,大道寺駅,-,当　駅,,,R,[｢14R｣],DF1T DF2T,{[((7R))又は((8R))又は((9R))又は((10R))]但 98N},,
出発信号機,1番線,-,館浜方,,12L,,(21),(11L) 12R 14R,12LT 21T,(12LT 21T),{[[21ﾛT]][[21ｲT]] FMT 但 (14L)} {22T 但 (22)} 14RT 12RT
場内信号機,館浜方,-,1番線,,12R,,(21),12L 14L,21T 12LT 12RT,(21T)(12LT),{[49T 50ｲT XT 但 (14R)]} DF1T DF2T
出発信号機,2番線,-,館浜方,,13L,, 21,(11L) 13R 15R,13LT 21T,(13LT 21T),{[[21ﾛT]][[21ｲT]] FMT 但 (15L)} {22T 但 22} 15RT 15LT
場内信号機,館浜方,-,2番線,,13R,, 21,13L 15L,21T 13LT 15LT,(21T)(13LT),{[49T 50ｲT XT 但 (14R)]} DF1T DF2T
場内信号機,新大路方,-,1番線,,14L,,(22),12R 14R,22T 14RT 12RT,(22T)(14RT),[[MT1T 但 (15L)(13L)]] [[22ﾛT 15LT 但 (13L)]] [[21ﾛT 21ｲT]] FMT
出発信号機,1番線,-,新大路方,,14R,,(22),12L 14L (16R),14RT 22T,(14RT 22T),{DF2T 但 (12R)} {21T 但 (21)} 12LT 12RT
場内信号機,新大路方,-,2番線,,15L,, 22,13R 15R,22T 15RT 15LT,(22T)(15RT),[[MT1T 但 (15L)(13L)]] [[22ﾛT 15LT 但 (13L)]] [[21ﾛT 21ｲT]] FMT
出発信号機,2番線,-,新大路方,,15R,, 22,13L 15L (16R),15RT 22T,(15RT 22T),{DF2T 但 (13R)} {21T 但 21} 13LT 15LT
方向てこ,水越駅,-,当　駅,,16,L,[[｢11L｣]],FMT,{[[((12L)) 又は ((13L))]] 但 99N},,
,当　駅,-,水越駅,,,R,[[(11R)]],FMT,{((14R)) 又は ((15R)) 但 99N},,
CTC切換てこ,無　　効,,,,81,L,,,,,
,有　　効,,,,,R,12L 12R 13L 13R 14L 14R 15L 15R,,,,
開放てこ（大道寺方）,集　　中,,,,98,N,,,,,
,駅　　扱,,,,,R,,,,,
開放てこ（水越方）,集　　中,,,,99,N,,,,,
,駅　　扱,,,,,R,,,,,
転てつ器,,,,,21,,,,21T,,
同　上,,,,,22,,,,22T,,
