名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠,
出発信号機,1番線,-,新大路方,,1R,(S),(22) 26,,22T 26ﾛT,(22T)(26ﾛT) ,5LAT,((30秒))
,2番線,-,同上,,2R,(S),(23) 24  25 (26),,23T 25T 26ｲT 26ﾛT,(23T)(25T)(26ｲT 26ﾛT),5LBT,((30秒))
,3番線,-,同上,,3R,(S), 21  23  24  25 (26) ,21ｲT,23T 25T 26ｲT 26ﾛT,(21ｲT)(23T)(25T)(26ｲT 26ﾛT),5LCT,((30秒))
,4番線,-,同上,,4R,(S), 21 (24) 25 (26),,21ﾛT 24T 23T 25T 26ｲT 26ﾛT,(21ﾛT)(24T)(23T)(25T)(26ｲT 26ﾛT),5LDT,((30秒))
場内信号機,新大路方,-,1番線,1,5L,A,(27) 26 (25) 22,,27T 26ｲT 25T 22T 5LAT,(27T)(26ｲT)(25T)(22T),[50ｲT 9LCT 但(6L)] [6LT 但(2L)] [41ｲT] [TST] 9T 7T,((60秒))
,同上,-,2番線,2,,B,(27) 26  25  24 (23),,27T 26ｲT 25T 23T 5LBT,(27T)(26ｲT)(25T)(23T),,
,同上,-,3番線,3,,C, 27  24 (21),,27T 24T 21ﾛT 21ｲT 5LCT,(27T)(24T)(21ﾛT 21ｲT),,
,同上,-,4番線,4,,D, 27  24  21,,27T 24T 21ﾛT 5LDT,(27T)(24T)(21ﾛT),,
CTC切換てこ,無　　効,,,,81,L,,,,,,
,有　　効,,,,,R,1R 2R 3R 4R 5L,,,,,
転てつ器,（　２　動　）,,,,21,,,,21ｲT 21ﾛT,,,
同　上,,,,,22,,,,22T,,,
同　上,,,,,23,,,,23T,,,
同　上,（　２　動　）,,,,24,,,,24T,,,
同　上,,,,,25,,,,25T,,,
同　上,（　２　動　）,,,,26,,,,26ｲT 26ﾛT,,,
同　上,,,,,27,,,,27T,,,
