名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠又は保留鎖錠,
場内信号機,館浜方,-,1番線,,1R,A,(21)(23),4R,1RT 21T 1RAT,(1RT 21T)({1RAT 但 30秒}),62T 68T 74T,((60秒))
,同上,-,2番線,,,B, 21  23,,1RT 21T 1RBT,(1RT 21T)({1RBT 但 30秒}),,
出発信号機,3番線,-,館浜方,,2L,(T), 22,,22T TST,(22T),{[5LBT][2LT] 89T 6LT 24T 但 (6LC)} 6LCT,((60秒))
同　上,4番線,-,同上,,3L,(T),(22),6LD,22T TST,(22T),6LDT,((30秒))
同　上,1番線,-,新大路方,,4R,(S),(23),1RA,23T SST,(23T),1RAT,((30秒))
同　上,2番線,-,同上,,5R,(S), 23 ,,23T SST,(23T),{68T 74T 1RT 21T 但(1RB)} 1RBT,((60秒))
場内信号機,新大路方,-,3番線,,6L,C, 24,,6LT 24T 6LCT,(6LT 24T),[5LT 21ｲT 5LBT 但 (2L)][2LT] 89T,((60秒))
,同上,-,4番線,,,D,(24),3L,6LT 24T 6LDT,(6LT 24T)({6LDT 但 30秒}),,
CTC切換てこ,無　　効,,,,81,L,,,,,,
,有　　効,,,,,R,1R 2L 3L 4R 5R 6L,,,,,
転てつ器,,,,,21,,,,21T,,,
同　上,,,,,22,,,,22T,,,
同　上,,,,,23,,,,23T,,,
同　上,,,,,24,,,,24T,,,
