名　　　　称,,,,進路,番　号,,鎖　　　　　　　　　　　　　　錠,,信号制御又はてっ査鎖錠,進路鎖錠,接近鎖錠又は保留鎖錠,
場内信号機,館浜方,-,41T,1,1R,TA, 41  43,31LA 31LZA 32LA 32LZA,1RT 41T,(1RT 41T),{142T 146T 但[(1RC)]}{[1RT 51ﾛT 52T] 但[51 52 53]}{[54T 55T] 但[(54) 55]} [1RCT] 156T,((60秒))
,同上,-,同上,2,,TB, 41 (43),29LB 29LZB 31LB 31LZB 32LB 32LZB,1RT 41T,(1RT 41T),,
,同上,-,42ﾛT,3,,TC,(41) 42,11L 11LZ 13LC 27L 27LZ 29LC 29LZC 31LC 31LZC 32LC 32LZC,1RT 41T 42ﾛT,(1RT 41T)(42ﾛT),,
場内信号機,41T,-,1番線,,2R,(A),,2RZ 21R 21RZ 31LA 31LZA 32LA 32LZA,2RT                                    ((1RA)),,{146T 但[(1RC)]}{[1RT 51ﾛT 52T] 但[51 52 53]}{[54T] 但[(54)]}{[55T] 但[55]} [1RCT] 156T 1RT 41T,((60秒))
誘導信号機,同上,-,同上,,2RZ,(A),,2R 21R 21RZ 31LA 31LZA 32LA 32LZA,,,,((30秒))
場内信号機,同上,-,2番線,,3R,(B),,3RZ 8R 22R 22RZ 29LB 29LZB 31LB 31LZB 32LB 32LZB,3RT                                    ((1RB)),,{146T 但[(1RC)]}{[1RT 51ﾛT 52T] 但[51 52 53]}{[54T] 但[(54)]}{[55T] 但[55]} [1RCT] 156T 1RT 41T,((60秒))
誘導信号機,同上,-,同上,,3RZ,(B),,3R 8R 22R 22RZ 29LB 29LZB 31LB 31LZB 32LB 32LZB,,,,((30秒))
場内信号機,42ﾛT,-,3番線,,4R,(C),,4RZ 5L 9R 11L 11LZ 23R 23RZ 27L 27LZ 29LC 29LZC 31LC 31LZC 32LC 32LZC,11LT                                   ((1RC)),,{146T 但[(1RC)]}{[1RT 51ﾛT 52T] 但[51 52 53]}{[54T] 但[(54)]}{[55T] 但[55]} [1RCT] 156T 1RT 41T 42ﾛT,((60秒))
誘導信号機,同上,-,同上,,4RZ,(C),,4R 5L 9R 11L 11LZ 23R 23RZ 27L 27LZ 29LC 29LZC 31LC 31LZC 32LC 32LZC,,,,((30秒))
出発信号機,3番線,-,館浜方,,5L,(T),(42),4R 4RZ 9R 11L 11LZ 23R 23RZ 27L 27LZ,42ﾛT 42ｲT TST,(42ﾛT 42ｲT),11LT,((30秒))
同上,4番線,-,同上,,6L,(T), 42,10R 12LZ 24R 24RZ 28L 28LZ,42ｲT TST, 42ｲT,{[[12LT 13LT 21T]]DF2T DF1T 但(13LD)}{XT 50ｲT 49T 47T 48T 44T 但(12L)}12LT,((60秒))
同上,1番線,-,新大路方,,7R,(X), 49  50,2RZ 21R 21RZ 31LA 31LZA (14R),49T 50ｲT XT,(49T)(50ｲT)(XT),{146T 但[(1RC)](2R)}{[1RT 51ﾛT 52T 55T] 但[51 52 53 54 55](2R)} {[1RCT] 156T 1RT 41T 但(2R)} 2RT,((60秒))
同上,2番線,-,同上,,8R,(X),(45) 47  48 (49) 50,3R 3RZ 22R 22RZ 31LB 31LZB (14R),45T 47T 49T 50ｲT XT,(45T)(47T 49T)(50ｲT)(XT),3RT,((30秒))
同上,3番線,-,同上,,9R,(X), 45  47  48 (49) 50,4R 4RZ 5L 11L 11LZ 13LC 23R 23RZ 27L 27LZ 31LC 31LZC (14R),45T 47T 49T 50ｲT XT,(45T)(47T 49T)(50ｲT)(XT),11LT,((30秒))
同上,4番線,-,同上,,10R,(X), 46 (48) 47 (49) 50,6L 12L 12LZ 13LD 24R 24RZ 28L 28LZ 31LD 31LZD (14R),44T 48T 47T 49T 50ｲT XT,(44T)(48T 47T 49T)(50ｲT)(XT),12LT,((30秒))
場内信号機,45T,-,3番線,,11L,(C), 42,4R 4RZ 5L 9R 11LZ 23R 23RZ 27L 27LZ 29LC 29LZC 31LC 31LZC 32LC 32LZC,11LT                                   ((13LC)),,{[[12LT 13LT 21T]]DF2T DF1T 但(13LC)}{XT 50ｲT 但50} {49T 47T 但(49) 48 47} 45T,((60秒))
誘導信号機,同上,-,同上,,11LZ,(C),,4R 4RZ 5L 9R 11L 23R 23RZ 27L 27LZ 29LC 29LZC 31LC 31LZC 32LC 32LZC,,,,((30秒))
場内信号機,44T,-,4番線,,12L,(D),,10R 12LZ 24R 24RZ 28L 29LD 29LZD 31LD 31LZD 32LD 32LZD,12LT                                   ((13LD)),,{[[12LT 13LT 21T]]DF2T DF1T 但(13LD)}{XT 50ｲT 但50} {49T 47T 48T 但(49)(48) 47 46} 44T,((60秒))
誘導信号機,同上,-,同上,,12LZ,(C),,10R 12L 24R 24RZ 28L 29LD 29LZD 31LD 31LZD 32LD 32LZD,,,,((30秒))
場内信号機,新大路方,-,45T,,13L,SC, 50 (49) 48  47  45,4R 9R 23R 23RZ 27L 27LZ 31LC 31LZC,XT 50ｲT 49T 47T 45T,(XT 50ｲT)(49T 47T)(45T),{[[22T 14RT 12RT 但(12L)]]}{[[22T 15RT 15LT但(13L)]]}{[[12LT 13LT 21T]] DF2T DF1T 但14L},((60秒))
