進路名,進路鎖錠するべき軌道回路リスト,,,,,,,,,,
なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH76_1R,TH76_22T,TH76_26ロT,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH76_2R,TH76_23T,TH76_25T,TH76_26イT,TH76_26ロT,なし,なし,なし,なし,なし,なし,なし
TH76_3R,TH76_21イT,TH76_23T,TH76_25T,TH76_26イT,TH76_26ロT,なし,なし,なし,なし,なし,なし
TH76_4R,TH76_21ロT,TH76_24T,TH76_23T,TH76_25T,TH76_26イT,TH76_26ロT,なし,なし,なし,なし,なし
TH76_5LA,TH76_27T,TH76_26イT,TH76_25T,TH76_22T,TH76_5LAT,なし,なし,なし,なし,なし,なし
TH76_5LB,TH76_27T,TH76_26イT,TH76_25T,TH76_23T,TH76_5LBT,なし,なし,なし,なし,なし,なし
TH76_5LC,TH76_27T,TH76_24T,TH76_21ロT,TH76_21イT,TH76_5LCT,なし,なし,なし,なし,なし,なし
TH76_5LD,TH76_27T,TH76_24T,TH76_21ロT,TH76_5LDT,なし,なし,なし,なし,なし,なし,なし
TH75_1RD5,TH75_1RT,TH75_41ロT,TH75_43イT,TH75_43ロT,TH75_45T,TH75_44T,TH75_5T,なし,なし,なし,なし
TH75_1RD6,TH75_1RT,TH75_41ロT,TH75_43イT,TH75_43ロT,TH75_45T,TH75_6T,なし,なし,なし,なし,なし
TH75_1RE,TH75_1RT,TH75_41ロT,TH75_43イT,TH75_1RET,なし,なし,なし,なし,なし,なし,なし
TH75_2L,TH75_41イT,TH75_TST,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH75_3L,TH75_44T,TH75_45T,TH75_43ロT,TH75_43イT,TH75_41ロT,TH75_41イT,TH75_TST,なし,なし,なし,なし
TH75_4L,TH75_45T,TH75_43ロT,TH75_43イT,TH75_41ロT,TH75_41イT,TH75_TST,なし,なし,なし,なし,なし
TH75_5RA,TH75_46イT,TH75_46ロT,TH75_5RAT,なし,なし,なし,なし,なし,なし,なし,なし
TH75_5RB,TH75_46イT,TH75_5RBT,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH75_6L,TH75_6LT,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH75_7R,TH75_49イT,TH75_49ロT,TH75_50イT,TH75_SST,なし,なし,なし,なし,なし,なし,なし
TH75_8R,TH75_49ロT,TH75_50イT,TH75_SST,なし,なし,なし,なし,なし,なし,なし,なし
TH75_9LA,TH75_9LT,TH75_50ロT,TH75_50イT,TH75_49ロT,TH75_49イT,TH75_5RAT,なし,なし,なし,なし,なし
TH75_9LB,TH75_9LT,TH75_50ロT,TH75_50イT,TH75_49ロT,TH75_5RBT,なし,なし,なし,なし,なし,なし
TH75_9LC,TH75_9LT,TH75_50ロT,TH75_9LCT,なし,なし,なし,なし,なし,なし,なし,なし
TH75_11RD5,TH75_41イT,TH75_41ロT,TH75_43イT,TH75_43ロT,TH75_45T,TH75_44T,TH75_5T,なし,なし,なし,なし
TH75_11RD6,TH75_41イT,TH75_41ロT,TH75_43イT,TH75_43ロT,TH75_45T,TH75_6T,なし,なし,なし,なし,なし
TH75_11RE,TH75_41イT,TH75_41ロT,TH75_43イT,TH75_1RET,なし,なし,なし,なし,なし,なし,なし
TH75_12L,TH75_41イT,TH75_TST,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH75_13RA,TH75_46イT,TH75_46ロT,TH75_5RAT,なし,なし,なし,なし,なし,なし,なし,なし
TH75_13RB,TH75_46イT,TH75_5RBT,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH75_14L,TH75_6LT,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH75_15L4,TH75_46ロT,TH75_48T,TH75_4T,なし,なし,なし,なし,なし,なし,なし,なし
TH75_15LD5,TH75_46ロT,TH75_48T,TH75_5T,なし,なし,なし,なし,なし,なし,なし,なし
TH75_15LD6,TH75_46ロT,TH75_48T,TH75_6T,なし,なし,なし,なし,なし,なし,なし,なし
TH75_24R,TH75_48T,TH75_46ロT,TH75_5RAT,なし,なし,なし,なし,なし,なし,なし,なし
TH75_25R,TH75_48T,TH75_46ロT,TH75_5RAT,なし,なし,なし,なし,なし,なし,なし,なし
TH75_26R,TH75_48T,TH75_46ロT,TH75_5RAT,なし,なし,なし,なし,なし,なし,なし,なし
TH75_27R4,TH75_42イT,TH75_34LT,TH75_4T,なし,なし,なし,なし,なし,なし,なし,なし
TH75_27RD5,TH75_42イT,TH75_42ロT,TH75_44T,TH75_5T,なし,なし,なし,なし,なし,なし,なし
TH75_27RD6,TH75_42イT,TH75_42ロT,TH75_44T,TH75_45T,TH75_6T,なし,なし,なし,なし,なし,なし
TH75_28RD5,TH75_42ロT,TH75_44T,TH75_5T,なし,なし,なし,なし,なし,なし,なし,なし
TH75_28RD6,TH75_42ロT,TH75_44T,TH75_45T,TH75_6T,なし,なし,なし,なし,なし,なし,なし
TH75_29RD5,TH75_43ロT,TH75_45T,TH75_44T,TH75_5T,なし,なし,なし,なし,なし,なし,なし
TH75_29RD6,TH75_43ロT,TH75_45T,TH75_6T,なし,なし,なし,なし,なし,なし,なし,なし
TH75_34L,TH75_34LT,TH75_42イT,TH75_7T,なし,なし,なし,なし,なし,なし,なし,なし
TH75_35L7,TH75_44T,TH75_42ロT,TH75_42イT,TH75_7T,なし,なし,なし,なし,なし,なし,なし
TH75_35L8,TH75_44T,TH75_42ロT,TH75_8T,なし,なし,なし,なし,なし,なし,なし,なし
TH75_35L9,TH75_44T,TH75_45T,TH75_43ロT,TH75_9T,なし,なし,なし,なし,なし,なし,なし
TH75_35LT,TH75_44T,TH75_45T,TH75_43ロT,TH75_43イT,TH75_41ロT,TH75_41イT,TH75_TST,なし,なし,なし,なし
TH75_36L7,TH75_45T,TH75_44T,TH75_42ロT,TH75_42イT,TH75_7T,なし,なし,なし,なし,なし,なし
TH75_36L8,TH75_45T,TH75_44T,TH75_42ロT,TH75_8T,なし,なし,なし,なし,なし,なし,なし
TH75_36L9,TH75_45T,TH75_43ロT,TH75_9T,なし,なし,なし,なし,なし,なし,なし,なし
TH75_36LT,TH75_45T,TH75_43ロT,TH75_43イT,TH75_41ロT,TH75_41イT,TH75_TST,なし,なし,なし,なし,なし
TH71_1RA,TH71_1RT,TH71_21T,TH71_1RAT,なし,なし,なし,なし,なし,なし,なし,なし
TH71_1RB,TH71_1RT,TH71_21T,TH71_1RBT,なし,なし,なし,なし,なし,なし,なし,なし
TH71_2L,TH71_22T,TH71_TST,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH71_3L,TH71_22T,TH71_TST,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH71_4R,TH71_23T,TH71_SST,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH71_5R,TH71_23T,TH71_SST,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH71_6LC,TH71_6LT,TH71_24T,TH71_6LCT,なし,なし,なし,なし,なし,なし,なし,なし
TH71_6LD,TH71_6LT,TH71_24T,TH71_6LDT,なし,なし,なし,なし,なし,なし,なし,なし
TH70_1R,TH70_1RAT,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH70_2L,TH70_2LT,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH70_3R,TH70_21ロT,TH70_SST,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH70_4R,TH70_21イT,TH70_21ロT,TH70_SST,なし,なし,なし,なし,なし,なし,なし,なし
TH70_5L,TH70_5LT,TH70_21イT,TH70_5LBT,なし,なし,なし,なし,なし,なし,なし,なし
TH70_11R,TH70_21ロT,TH70_SST,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH70_12L,TH70_21ロT,TH70_21イT,TH70_5LBT,なし,なし,なし,なし,なし,なし,なし,なし
TH67_1RA,TH67_1RT,TH67_32T,TH67_1RAT,なし,なし,なし,なし,なし,なし,なし,なし
TH67_1RB,TH67_1RT,TH67_32T,TH67_1RBT,なし,なし,なし,なし,なし,なし,なし,なし
TH67_2L,TH67_31T,TH67_TST,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH67_3L,TH67_31T,TH67_TST,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH67_4L,TH67_4LT,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH67_5L,TH67_5LT,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし
TH67_6R,TH67_34T,TH67_35イT,TH67_35ロT,TH67_36イT,TH67_SST,なし,なし,なし,なし,なし,なし
TH67_7R,TH67_34T,TH67_35イT,TH67_35ロT,TH67_36イT,TH67_SST,なし,なし,なし,なし,なし,なし
TH67_8R,TH67_33イT,TH67_33ロT,TH67_35ロT,TH67_36イT,TH67_SST,なし,なし,なし,なし,なし,なし
TH67_9R,TH67_33ロT,TH67_35ロT,TH67_36イT,TH67_SST,なし,なし,なし,なし,なし,なし,なし
TH67_10LSC,TH67_10LT,TH67_35イT,TH67_34T,なし,なし,なし,なし,なし,なし,なし,なし
TH67_10LSD,TH67_10LT,TH67_35イT,TH67_34T,なし,なし,なし,なし,なし,なし,なし,なし
